Position 
  x 	 y 	 z 
1	0.0628	0	

0.996052	0.1256	0	

0.98818	0.188154	0	

0.976423	0.250217	0	

0.960832	0.311551	0	

0.941478	0.37192	0	

0.918444	0.431096	0	

0.891826	0.488857	0	

0.861737	0.544988	0	

0.828301	0.599284	0	

0.791656	0.651551	0	

0.751951	0.701604	0	

0.709347	0.749271	0	

0.664013	0.794391	0	

0.61613	0.836819	0	

0.565886	0.876421	0	

0.513474	0.913079	0	

0.459094	0.946691	0	

0.402952	0.977166	0	

0.345253	1.00443	0	

0.286207	1.02843	0	

0.226024	1.04912	0	

0.164912	1.06648	0	

0.103078	1.08048	0	

0.0407259	1.09114	0	

-0.0219442	1.09845	0	

-0.0847379	1.10246	0	

-0.147466	1.1032	0	

-0.209947	1.10072	0	

-0.272006	1.09508	0	

-0.333475	1.08635	0	

-0.394198	1.07462	0	

-0.454023	1.05996	0	

-0.51281	1.04247	0	

-0.570429	1.02226	0	

-0.626756	0.999414	0	

-0.68168	0.974058	0	

-0.735097	0.946299	0	

-0.786913	0.916251	0	

-0.837041	0.884032	0	

-0.885407	0.84976	0	

-0.931941	0.813555	0	

-0.976585	0.775534	0	

-1.01928	0.735817	0	

-1.06	0.694521	0	

-1.09868	0.651763	0	

-1.13532	0.607658	0	

-1.16987	0.562319	0	

-1.20232	0.515857	0	

-1.23266	0.468379	0	

-1.26088	0.419992	0	

-1.28697	0.370798	0	

-1.31095	0.320899	0	

-1.33281	0.27039	0	

-1.35257	0.219365	0	

-1.37024	0.167917	0	

-1.38583	0.116131	0	

-1.39936	0.0640943	0	

-1.41086	0.0118866	0	

-1.42036	-0.0404131	0	

-1.42786	-0.0927295	0	

-1.43342	-0.14499	0	

-1.43705	-0.197126	0	

-1.43878	-0.249071	0	

-1.43866	-0.30076	0	

-1.43672	-0.352134	0	

-1.43298	-0.403133	0	

-1.42749	-0.453704	0	

-1.42029	-0.503791	0	

-1.41141	-0.553346	0	

-1.4009	-0.60232	0	

-1.38878	-0.650667	0	

-1.37511	-0.698343	0	

-1.35991	-0.745307	0	

-1.34324	-0.79152	0	

-1.32512	-0.836944	0	

-1.30561	-0.881543	0	

-1.28473	-0.925284	0	

-1.26254	-0.968135	0	

-1.23907	-1.01007	0	

-1.21437	-1.05105	0	

-1.18846	-1.09105	0	

-1.1614	-1.13006	0	

-1.13323	-1.16804	0	

-1.10397	-1.20497	0	

-1.07368	-1.24083	0	

-1.04238	-1.2756	0	

-1.01013	-1.30926	0	

-0.976962	-1.34179	0	

-0.942908	-1.37319	0	

-0.908011	-1.40342	0	

-0.872308	-1.43248	0	

-0.835838	-1.46035	0	

-0.798639	-1.48703	0	

-0.760746	-1.5125	0	

-0.722198	-1.53674	0	

-0.683031	-1.55976	0	

-0.643282	-1.58153	0	

-0.602987	-1.60206	0	

-0.562181	-1.62134	0	

