Simulation of solar system over 100 years, with 1316134912 iterations, using perihelion´s method.
Time 	sun	 	mercury	 	
angle: 0.0557266615	 distance: 0.3075	 Position(x,y,z): 0.3075 , 8.30774224e-08 , 0
angle: 0.111452487	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.66153598e-07 , 0
angle: 0.167176787	 distance: 0.3075	 Position(x,y,z): 0.3075 , 2.49227501e-07 , 0
angle: 0.222899789	 distance: 0.3075	 Position(x,y,z): 0.3075 , 3.32299468e-07 , 0
angle: 0.278620441	 distance: 0.3075	 Position(x,y,z): 0.3075 , 4.1536793e-07 , 0
angle: 0.334338999	 distance: 0.3075	 Position(x,y,z): 0.3075 , 4.98433272e-07 , 0
angle: 1.02407076	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.52668681e-06 , 0
angle: 1.0797856	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.6097466e-06 , 0
angle: 1.13549947	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.69280497e-06 , 0
angle: 1.19121115	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.77586004e-06 , 0
angle: 1.24692084	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.85891217e-06 , 0
angle: 1.30262825	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.94196089e-06 , 0
angle: 1.35833445	 distance: 0.3075	 Position(x,y,z): 0.3075 , 2.02500781e-06 , 0
angle: 1.41403777	 distance: 0.3075	 Position(x,y,z): 0.3075 , 2.10805044e-06 , 0
angle: 1.46973963	 distance: 0.3075	 Position(x,y,z): 0.3075 , 2.19109088e-06 , 0
angle: 1.52543963	 distance: 0.3075	 Position(x,y,z): 0.3075 , 2.27412856e-06 , 0
angle: 1.58113802	 distance: 0.3075	 Position(x,y,z): 0.3075 , 2.35716384e-06 , 0
angle: 1.63683352	 distance: 0.3075	 Position(x,y,z): 0.3075 , 2.44019481e-06 , 0
angle: 1.69252736	 distance: 0.3075	 Position(x,y,z): 0.3075 , 2.52322329e-06 , 0
angle: 2.38223521	 distance: 0.3075	 Position(x,y,z): 0.3075 , 3.55144118e-06 , 0
angle: 2.4379263	 distance: 0.3075	 Position(x,y,z): 0.3075 , 3.63446557e-06 , 0
angle: 2.49361561	 distance: 0.3075	 Position(x,y,z): 0.3075 , 3.71748731e-06 , 0
angle: 2.54930321	 distance: 0.3075	 Position(x,y,z): 0.3075 , 3.8005065e-06 , 0
angle: 2.60498853	 distance: 0.3075	 Position(x,y,z): 0.3075 , 3.88352229e-06 , 0
angle: 2.66067109	 distance: 0.3075	 Position(x,y,z): 0.3075 , 3.96653397e-06 , 0
angle: 2.71635169	 distance: 0.3075	 Position(x,y,z): 0.3075 , 4.04954273e-06 , 0
angle: 2.77203195	 distance: 0.3075	 Position(x,y,z): 0.3075 , 4.13255098e-06 , 0
angle: 2.82771023	 distance: 0.3075	 Position(x,y,z): 0.3075 , 4.21555627e-06 , 0
angle: 2.88338731	 distance: 0.3075	 Position(x,y,z): 0.3075 , 4.29855977e-06 , 0
angle: 2.93906315	 distance: 0.3075	 Position(x,y,z): 0.3075 , 4.38156143e-06 , 0
angle: 2.99473652	 distance: 0.3075	 Position(x,y,z): 0.3075 , 4.4645594e-06 , 0
angle: 3.05040808	 distance: 0.3075	 Position(x,y,z): 0.3075 , 4.54755469e-06 , 0
angle: 3.74009416	 distance: 0.3075	 Position(x,y,z): 0.3075 , 5.57574012e-06 , 0
angle: 3.79576277	 distance: 0.3075	 Position(x,y,z): 0.3075 , 5.658731e-06 , 0
angle: 3.85142915	 distance: 0.3075	 Position(x,y,z): 0.3075 , 5.74171856e-06 , 0
angle: 3.90709311	 distance: 0.3075	 Position(x,y,z): 0.3075 , 5.8247025e-06 , 0
angle: 3.96275565	 distance: 0.3075	 Position(x,y,z): 0.3075 , 5.90768434e-06 , 0
angle: 4.01841676	 distance: 0.3075	 Position(x,y,z): 0.3075 , 5.99066403e-06 , 0
angle: 4.07407589	 distance: 0.3075	 Position(x,y,z): 0.3075 , 6.07364077e-06 , 0
angle: 4.12973405	 distance: 0.3075	 Position(x,y,z): 0.3075 , 6.15661608e-06 , 0
angle: 4.18539078	 distance: 0.3075	 Position(x,y,z): 0.3075 , 6.23958924e-06 , 0
angle: 4.24104418	 distance: 0.3075	 Position(x,y,z): 0.3075 , 6.32255745e-06 , 0
angle: 4.29669538	 distance: 0.3075	 Position(x,y,z): 0.3075 , 6.40552238e-06 , 0
angle: 4.3523447	 distance: 0.3075	 Position(x,y,z): 0.3075 , 6.48848449e-06 , 0
angle: 4.40799162	 distance: 0.3075	 Position(x,y,z): 0.3075 , 6.57144304e-06 , 0
angle: 4.4636369	 distance: 0.3075	 Position(x,y,z): 0.3075 , 6.65439913e-06 , 0
angle: 5.1532957	 distance: 0.3075	 Position(x,y,z): 0.3075 , 7.6825439e-06 , 0
angle: 5.20893722	 distance: 0.3075	 Position(x,y,z): 0.3075 , 7.76549439e-06 , 0
angle: 5.26457711	 distance: 0.3075	 Position(x,y,z): 0.3075 , 7.84844246e-06 , 0
angle: 5.32021489	 distance: 0.3075	 Position(x,y,z): 0.3075 , 7.93138738e-06 , 0
angle: 5.37584996	 distance: 0.3075	 Position(x,y,z): 0.3075 , 8.01432826e-06 , 0
angle: 5.43148389	 distance: 0.3075	 Position(x,y,z): 0.3075 , 8.09726744e-06 , 0
angle: 5.48711604	 distance: 0.3075	 Position(x,y,z): 0.3075 , 8.18020396e-06 , 0
angle: 5.54274679	 distance: 0.3075	 Position(x,y,z): 0.3075 , 8.2631384e-06 , 0
angle: 5.59837399	 distance: 0.3075	 Position(x,y,z): 0.3075 , 8.34606754e-06 , 0
angle: 5.65400014	 distance: 0.3075	 Position(x,y,z): 0.3075 , 8.42899512e-06 , 0
angle: 5.70962385	 distance: 0.3075	 Position(x,y,z): 0.3075 , 8.51191906e-06 , 0
angle: 5.76524614	 distance: 0.3075	 Position(x,y,z): 0.3075 , 8.59484089e-06 , 0
angle: 5.82086639	 distance: 0.3075	 Position(x,y,z): 0.3075 , 8.67775967e-06 , 0
angle: 6.5104997	 distance: 0.3075	 Position(x,y,z): 0.3075 , 9.70586643e-06 , 0
angle: 6.56611506	 distance: 0.3075	 Position(x,y,z): 0.3075 , 9.78877793e-06 , 0
angle: 6.6217278	 distance: 0.3075	 Position(x,y,z): 0.3075 , 9.87168552e-06 , 0
angle: 6.67733806	 distance: 0.3075	 Position(x,y,z): 0.3075 , 9.95458942e-06 , 0
angle: 6.7329459	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.00374897e-05 , 0
angle: 6.78855037	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.0120385e-05 , 0
angle: 6.844152	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.0203276e-05 , 0
angle: 6.89975096	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.0286163e-05 , 0
angle: 6.95534686	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.03690455e-05 , 0
angle: 7.01094086	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.04519252e-05 , 0
angle: 7.06653235	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.05348011e-05 , 0
angle: 7.12212059	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.06176721e-05 , 0
angle: 7.1777055	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.07005382e-05 , 0
angle: 7.86730477	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.17285942e-05 , 0
angle: 7.9228856	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.18114543e-05 , 0
angle: 7.97846273	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.18943088e-05 , 0
angle: 8.03403689	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.19771588e-05 , 0
angle: 8.08960887	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.20600057e-05 , 0
angle: 8.14517866	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.21428492e-05 , 0
angle: 8.20074687	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.22256904e-05 , 0
angle: 8.25631175	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.23085267e-05 , 0
angle: 8.31187344	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.23913581e-05 , 0
angle: 8.36743213	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.24741851e-05 , 0
angle: 8.42298715	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.25570067e-05 , 0
angle: 8.47853884	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.26398233e-05 , 0
angle: 8.53408693	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.27226345e-05 , 0
angle: 9.2236487	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.37506346e-05 , 0
angle: 9.27919106	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.38334373e-05 , 0
angle: 9.33472874	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.39162329e-05 , 0
angle: 9.39026251	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.39990228e-05 , 0
angle: 9.44579262	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.40818072e-05 , 0
angle: 9.50131934	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.41645865e-05 , 0
angle: 9.55684193	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.42473597e-05 , 0
angle: 9.61236175	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.43301288e-05 , 0
angle: 9.66787729	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.44128915e-05 , 0
angle: 9.72338885	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.44956482e-05 , 0
angle: 9.77889705	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.45784e-05 , 0
angle: 9.83440108	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.46611455e-05 , 0
angle: 9.88990072	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.47438845e-05 , 0
angle: 10.579412	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.57718094e-05 , 0
angle: 10.6349029	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.58545352e-05 , 0
angle: 10.6903887	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.59372536e-05 , 0
angle: 10.7458698	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.60199649e-05 , 0
angle: 10.801347	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.61026705e-05 , 0
angle: 10.8568192	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.61853685e-05 , 0
angle: 10.9122859	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.62680584e-05 , 0
angle: 10.9677479	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.63507412e-05 , 0
angle: 11.0232054	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.64334174e-05 , 0
angle: 11.0786582	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.65160866e-05 , 0
angle: 11.1341054	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.65987474e-05 , 0
angle: 11.1895478	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.6681401e-05 , 0
angle: 11.2449858	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.67640481e-05 , 0
angle: 11.9344353	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.77918809e-05 , 0
angle: 11.9898643	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.78745145e-05 , 0
angle: 12.0452887	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.79571414e-05 , 0
